user_id,reciprocal_rank
699,0.0000
226,0.0000
386,0.0000
938,0.3333
487,0.0000
26,0.0000
480,0.0000
767,0.0000
978,0.0000
434,0.0000
6,0.1429
599,0.0000
661,0.0000
1014,0.0000
956,0.0000
103,0.0000
1111,0.1111
447,0.0000
109,0.0000
572,0.0000
816,0.0000
255,0.0000
1001,0.0000
981,0.0000
1042,0.1429
656,0.0000
750,0.0000
627,0.0000
918,0.0000
300,0.2000
436,0.0000
364,0.0000
123,0.0000
1045,0.0000
133,0.0000
893,0.0000
813,0.0000
456,0.0000
927,0.0000
137,0.0000
819,0.0000
202,0.2000
501,0.0000
527,0.0000
950,0.0000
47,0.1429
406,0.0000
353,0.0000
441,0.0000
680,0.0000
748,0.0000
409,0.0000
580,0.0000
1109,0.0000
330,0.0000
52,0.0000
621,0.1667
361,0.0000
602,0.0000
380,0.0000
860,0.0000
805,0.0000
736,0.0000
573,0.1111
24,0.0000
392,0.0000
22,0.0000
410,0.0000
72,0.0000
177,0.0000
346,0.0000
292,0.0000
899,0.0000
277,0.0000
503,0.0000
841,0.0000
715,0.0000
1054,0.0000
485,0.0000
481,0.0000
130,0.0000
446,0.0000
971,0.0000
48,0.0000
355,0.0000
385,0.0000
437,0.0000
615,0.0000
945,0.0000
462,0.0000
157,0.0000
644,0.0000
155,0.0000
384,0.0000
753,0.0000
789,0.0000
851,0.0000
983,0.1111
472,0.0000
639,0.0000
875,0.0000
566,0.0000
901,0.0000
962,0.0000
807,0.0000
296,0.0000
186,0.0000
351,0.0000
526,0.0000
755,0.0000
768,0.0000
5,0.0000
868,0.0000
669,0.0000
692,0.0000
1085,0.0000
0,0.0000
468,0.1000
988,0.0000
712,0.0000
809,0.0000
173,0.0000
146,0.0000
204,0.0000
946,0.0000
75,0.0000
180,0.0000
614,0.0000
729,0.0000
523,0.0000
372,0.1250
324,0.0000
766,0.0000
418,0.0000
942,0.5000
345,0.1429
110,0.0000
492,0.0000
482,0.1667
1053,0.0000
883,0.0000
1,0.0000
561,0.0000
56,0.0000
626,0.0000
710,0.0000
943,0.0000
706,0.0000
940,0.0000
894,0.0000
479,0.0000
539,0.0000
821,0.1111
82,0.2500
966,0.2500
907,0.0000
1108,0.0000
955,0.0000
1046,0.0000
273,0.0000
162,0.0000
235,0.0000
1064,0.0000
829,0.0000
466,0.0000
1047,0.0000
439,0.0000
920,0.0000
529,0.5000
227,0.0000
953,0.0000
448,0.0000
1050,0.0000
272,0.0000
919,0.0000
220,0.0000
187,0.0000
357,0.0000
586,0.0000
38,0.0000
7,0.0000
290,0.1000
932,0.1111
873,0.0000
230,0.0000
925,0.0000
576,0.0000
516,0.1250
216,0.0000
217,0.0000
984,0.0000
23,0.0000
933,0.0000
858,0.0000
161,0.0000
734,0.0000
1033,0.0000
443,0.0000
916,0.2000
855,0.0000
453,0.0000
730,0.0000
882,0.0000
596,0.0000
77,0.0000
347,0.0000
45,0.0000
1099,0.0000
126,0.0000
889,0.0000
872,0.0000
203,0.0000
792,0.0000
321,0.0000
622,0.0000
799,0.0000
793,0.0000
350,0.0000
76,0.2000
288,0.0000
113,0.0000
407,0.0000
980,0.0000
318,0.0000
338,0.0000
660,0.0000
775,0.0000
718,0.0000
1017,0.0000
728,0.0000
170,0.0000
877,0.0000
804,0.0000
897,0.0000
609,0.0000
144,0.0000
628,0.0000
754,0.0000
888,0.2000
34,0.0000
1038,0.1667
70,0.0000
151,0.0000
618,0.0000
668,0.0000
1058,0.0000
1089,0.0000
790,0.0000
159,0.0000
1061,0.1667
261,0.0000
632,0.0000
1022,0.0000
1049,0.0000
815,0.0000
534,0.0000
826,0.0000
812,0.0000
224,0.0000
1024,0.0000
567,0.0000
8,0.0000
178,0.0000
373,0.0000
320,0.0000
542,0.0000
679,0.0000
558,0.1429
629,0.0000
473,0.0000
986,0.0000
315,0.0000
334,0.0000
545,0.0000
611,0.0000
608,0.0000
522,0.0000
1029,0.0000
836,0.0000
